,Unnamed: 0,id,full_name,prefix,pdes,class,diameter,diameter_sigma,albedo,rot_per,GM,BV,UB,IR,e,a,q,i,moid,spec_B,spec_T,dv,dv2
0,432,a0000433,   433 Eros (1898 DQ),,433,AMO,16.84,0.06,0.25,5.27,0.0004463,0.921,0.531,,0.2226579373568233,1.4578794090691658,1.1332709869308408,10.828934285532947,0.149527,S,S,6.111922,5.347252394224462
1,718,a0000719,   719 Albert (1911 MT),,719,AMO,,,,5.801,,,,,0.5515867117319896,2.630945383617148,1.1797508707213071,11.55459458439722,0.18779,S,,7.679083,8.080040997479102
2,886,a0000887,   887 Alinda (1918 DB),,887,AMO,4.2,,0.31,73.97,,0.8320000000000001,0.436,,0.5673225253053297,2.478667566790519,1.072463623406505,9.358493751890293,0.0923339,,S,7.074727,7.3613480777170786
3,1035,a0001036,  1036 Ganymed (1924 TD),,1036,AMO,31.66,2.8,0.2926,10.297,,0.8420000000000001,0.417,,0.5339282288574566,2.663123707287952,1.241206783027392,26.692478381860145,0.341834,S,S,10.364994,11.379948292791694
4,1220,a0001221,  1221 Amor (1932 EA1),,1221,AMO,1.0,,,,,,,,0.4353769988040953,1.919439431519742,1.083759652438438,11.87890568007887,0.107492,,,6.687919,6.650541062287143
5,1565,a0001566,  1566 Icarus (1949 MA),,1566,APO,1.0,,0.51,2.2726,,0.774,0.52,,0.8269262299691367,1.0780641326166558,0.1865846237670172,22.83120830636467,0.0344076,,,15.295912,15.454025366449274
6,1579,a0001580,  1580 Betulia (1950 KA),,1580,AMO,5.8,,0.08,6.1324,,0.6559999999999999,0.249,,0.4874922201696106,2.197260977819762,1.126113345450356,52.0818740662269,0.135976,,C,17.05566,18.998017352569484
7,1619,a0001620,  1620 Geographos (1951 RA),,1620,APO,2.56,0.15,0.3258,5.22204,,0.862,0.471,,0.3353837028332238,1.245423874752995,0.8277290040414345,13.3377524406072,0.0304198,S,S,6.7461699999999984,6.025312204812474
8,1626,a0001627,  1627 Ivar (1929 SH),,1627,AMO,9.12,,0.15,4.795,,0.872,0.459,,0.3964845299971066,1.863133365223491,1.124429808590927,8.451198839468491,0.11227,S,S,6.319846,6.069537746050294
9,1684,a0001685,  1685 Toro (1948 OA),,1685,APO,3.4,,0.31,10.1995,,0.88,0.47,,0.4358740128166169,1.367231229083547,0.7712906668147063,9.380926286701877,0.0502871,S,S,6.670533,5.996502462549435
10,1861,a0001862,  1862 Apollo (1932 HA),,1862,APO,1.5,,0.25,3.065,,0.8190000000000001,0.481,,0.5599584686406373,1.470201854517285,0.6469498754691609,6.352978535838977,0.0257334,Q,Q,7.486426,6.965134432682312
